code,country,continent
4,Afghanistan,ASIA
8,Albania,EUROPE
12,Algeria,AFRICA
24,Angola,AFRICA
28,Antigua and Barbuda,LATIN AMERICA AND THE CARIBBEAN
32,Argentina,LATIN AMERICA AND THE CARIBBEAN
51,Armenia,ASIA
533,Aruba,LATIN AMERICA AND THE CARIBBEAN
36,Australia,OCEANIA
40,Austria,EUROPE
31,Azerbaijan,ASIA
44,Bahamas,LATIN AMERICA AND THE CARIBBEAN
48,Bahrain,ASIA
50,Bangladesh,ASIA
52,Barbados,LATIN AMERICA AND THE CARIBBEAN
112,Belarus,EUROPE
56,Belgium,EUROPE
84,Belize,LATIN AMERICA AND THE CARIBBEAN
204,Benin,AFRICA
64,Bhutan,ASIA
68,Bolivia (Plurinational State of),LATIN AMERICA AND THE CARIBBEAN
68,Bolivia,LATIN AMERICA AND THE CARIBBEAN
70,Bosnia and Herzegovina,EUROPE
72,Botswana,AFRICA
76,Brazil,LATIN AMERICA AND THE CARIBBEAN
96,Brunei Darussalam,ASIA
96,Brunei,ASIA
100,Bulgaria,EUROPE
854,Burkina Faso,AFRICA
108,Burundi,AFRICA
132,Cabo Verde,AFRICA
132,Cape Verde,AFRICA
116,Cambodia,ASIA
120,Cameroon,AFRICA
124,Canada,NORTHERN AMERICA
140,Central African Republic,AFRICA
148,Chad,AFRICA
830,Channel Islands,EUROPE
152,Chile,LATIN AMERICA AND THE CARIBBEAN
156,China,ASIA
344,"China, Hong Kong SAR",ASIA
344,"Hong Kong, China",ASIA
446,"China, Macao SAR",ASIA
158,"China, Taiwan Province of China",ASIA
158,"Taiwan",ASIA
170,Colombia,LATIN AMERICA AND THE CARIBBEAN
174,Comoros,AFRICA
178,Congo,AFRICA
178,"Congo, Dem. Rep.",AFRICA
178,"Congo, Rep.",AFRICA
188,Costa Rica,LATIN AMERICA AND THE CARIBBEAN
384,Côte d'Ivoire,AFRICA
384,Cote d'Ivoire,AFRICA
191,Croatia,EUROPE
192,Cuba,LATIN AMERICA AND THE CARIBBEAN
531,Curaçao,LATIN AMERICA AND THE CARIBBEAN
196,Cyprus,ASIA
203,Czechia,EUROPE
203,Czech Republic,EUROPE
408,Dem. People's Republic of Korea,ASIA
408,North Korea,ASIA
180,Democratic Republic of the Congo,AFRICA
208,Denmark,EUROPE
262,Djibouti,AFRICA
214,Dominican Republic,LATIN AMERICA AND THE CARIBBEAN
218,Ecuador,LATIN AMERICA AND THE CARIBBEAN
818,Egypt,AFRICA
222,El Salvador,LATIN AMERICA AND THE CARIBBEAN
226,Equatorial Guinea,AFRICA
232,Eritrea,AFRICA
233,Estonia,EUROPE
231,Ethiopia,AFRICA
242,Fiji,OCEANIA
246,Finland,EUROPE
250,France,EUROPE
254,French Guiana,LATIN AMERICA AND THE CARIBBEAN
258,French Polynesia,OCEANIA
266,Gabon,AFRICA
270,Gambia,AFRICA
268,Georgia,ASIA
276,Germany,EUROPE
288,Ghana,AFRICA
300,Greece,EUROPE
308,Grenada,LATIN AMERICA AND THE CARIBBEAN
312,Guadeloupe,LATIN AMERICA AND THE CARIBBEAN
316,Guam,OCEANIA
320,Guatemala,LATIN AMERICA AND THE CARIBBEAN
324,Guinea,AFRICA
624,Guinea-Bissau,AFRICA
328,Guyana,LATIN AMERICA AND THE CARIBBEAN
332,Haiti,LATIN AMERICA AND THE CARIBBEAN
340,Honduras,LATIN AMERICA AND THE CARIBBEAN
348,Hungary,EUROPE
352,Iceland,EUROPE
356,India,ASIA
360,Indonesia,ASIA
364,Iran (Islamic Republic of),ASIA
364,Iran,ASIA
368,Iraq,ASIA
372,Ireland,EUROPE
376,Israel,ASIA
380,Italy,EUROPE
388,Jamaica,LATIN AMERICA AND THE CARIBBEAN
392,Japan,ASIA
400,Jordan,ASIA
398,Kazakhstan,ASIA
404,Kenya,AFRICA
296,Kiribati,OCEANIA
414,Kuwait,ASIA
417,Kyrgyzstan,ASIA
417,Kyrgyz Republic,ASIA
418,Lao People's Democratic Republic,ASIA
418,Lao,ASIA
428,Latvia,EUROPE
422,Lebanon,ASIA
426,Lesotho,AFRICA
430,Liberia,AFRICA
434,Libya,AFRICA
440,Lithuania,EUROPE
442,Luxembourg,EUROPE
450,Madagascar,AFRICA
454,Malawi,AFRICA
458,Malaysia,ASIA
462,Maldives,ASIA
466,Mali,AFRICA
470,Malta,EUROPE
474,Martinique,LATIN AMERICA AND THE CARIBBEAN
478,Mauritania,AFRICA
480,Mauritius,AFRICA
175,Mayotte,AFRICA
484,Mexico,LATIN AMERICA AND THE CARIBBEAN
583,Micronesia (Fed. States of),OCEANIA
583,"Micronesia, Fed. Sts",OCEANIA
496,Mongolia,ASIA
499,Montenegro,EUROPE
504,Morocco,AFRICA
508,Mozambique,AFRICA
104,Myanmar,ASIA
516,Namibia,AFRICA
524,Nepal,ASIA
528,Netherlands,EUROPE
540,New Caledonia,OCEANIA
554,New Zealand,OCEANIA
558,Nicaragua,LATIN AMERICA AND THE CARIBBEAN
562,Niger,AFRICA
566,Nigeria,AFRICA
578,Norway,EUROPE
512,Oman,ASIA
586,Pakistan,ASIA
591,Panama,LATIN AMERICA AND THE CARIBBEAN
598,Papua New Guinea,OCEANIA
600,Paraguay,LATIN AMERICA AND THE CARIBBEAN
604,Peru,LATIN AMERICA AND THE CARIBBEAN
608,Philippines,ASIA
616,Poland,EUROPE
620,Portugal,EUROPE
630,Puerto Rico,LATIN AMERICA AND THE CARIBBEAN
634,Qatar,ASIA
410,Republic of Korea,ASIA
410,South Korea,ASIA
498,Republic of Moldova,EUROPE
498,Moldova,EUROPE
638,Réunion,AFRICA
642,Romania,EUROPE
643,Russian Federation,EUROPE
643,Russia,EUROPE
646,Rwanda,AFRICA
662,Saint Lucia,LATIN AMERICA AND THE CARIBBEAN
662,St. Lucia,LATIN AMERICA AND THE CARIBBEAN
670,Saint Vincent and the Grenadines,LATIN AMERICA AND THE CARIBBEAN
670,St. Vincent and the Grenadines,LATIN AMERICA AND THE CARIBBEAN
882,Samoa,OCEANIA
678,Sao Tome and Principe,AFRICA
682,Saudi Arabia,ASIA
686,Senegal,AFRICA
688,Serbia,EUROPE
690,Seychelles,AFRICA
694,Sierra Leone,AFRICA
702,Singapore,ASIA
703,Slovakia,EUROPE
703,Slovak Republic,EUROPE
705,Slovenia,EUROPE
90,Solomon Islands,OCEANIA
706,Somalia,AFRICA
710,South Africa,AFRICA
728,South Sudan,AFRICA
724,Spain,EUROPE
144,Sri Lanka,ASIA
275,State of Palestine,ASIA
275,Palestine,ASIA
729,Sudan,AFRICA
740,Suriname,LATIN AMERICA AND THE CARIBBEAN
748,Swaziland,AFRICA
752,Sweden,EUROPE
756,Switzerland,EUROPE
760,Syrian Arab Republic,ASIA
760,Syria,ASIA
762,Tajikistan,ASIA
807,TFYR Macedonia,EUROPE
807,"Macedonia, FYR",EUROPE
764,Thailand,ASIA
626,Timor-Leste,ASIA
768,Togo,AFRICA
776,Tonga,OCEANIA
780,Trinidad and Tobago,LATIN AMERICA AND THE CARIBBEAN
788,Tunisia,AFRICA
792,Turkey,ASIA
795,Turkmenistan,ASIA
800,Uganda,AFRICA
804,Ukraine,EUROPE
784,United Arab Emirates,ASIA
826,United Kingdom,EUROPE
834,United Republic of Tanzania,AFRICA
834,Tanzania,AFRICA
840,United States of America,NORTHERN AMERICA
840,United States,NORTHERN AMERICA
850,United States Virgin Islands,LATIN AMERICA AND THE CARIBBEAN
858,Uruguay,LATIN AMERICA AND THE CARIBBEAN
860,Uzbekistan,ASIA
548,Vanuatu,OCEANIA
862,Venezuela (Bolivarian Republic of),LATIN AMERICA AND THE CARIBBEAN
862,Venezuela,LATIN AMERICA AND THE CARIBBEAN
704,Viet Nam,ASIA
704,Vietnam,ASIA
732,Western Sahara,AFRICA
887,Yemen,ASIA
894,Zambia,AFRICA
716,Zimbabwe,AFRICA
